Word Ngram Statistic for 1..10-grams


RANK	NGramm	F
1	;	17
2	.	15
3	()	13
4	==	12
5	{}	7
6	bom	7
7	&&	7
8	return	7
9	[]	6
10	Encoding	6
11	byte	6
12	=	6
13	return Encoding	5
14	Encoding .	5
15	return Encoding .	5
16	if ()	5
17	using	5
18	if	5
19	b0	5
20	b1	5
21	ch	5
22	b1 ==	4
23	() b0	4
24	&& b1 ==	4
25	&& b1	4
26	= bom	4
27	bom []	4
28	using System	4
29	if () b0 ==	4
30	b0 ==	4
31	,	4
32	char	4
33	if () b0	4
34	public	4
35	= bom []	4
36	() b0 ==	4
37	System	4
38	else if () b0	3
39	b2	3
40	else if () b0 ==	3
41	4	3
42	0xff	3
43	0xfe	3
44	else	3
45	public static	3
46	else if	3
47	else if ()	3
48	using System .	3
49	static	3
50	== 0xfe	3
51	== 0xff	3
52	System .	3
53	{} byte	2
54	= new	2
55	== 0x00	2
56	&& b2	2
57	4 ;	2
58	ch ;	2
59	byte []	2
60	b2 ==	2
61	0x00 &&	2
62	public static bool	2
63	== 0x00 &&	2
64	== 0xff return	2
65	() char ch {} return	2
66	0xff return Encoding	2
67	== 0xfe &&	2
68	char ch {}	2
69	ch {} return	2
70	() char ch	2
71	() ch ;	2
72	&& b2 ==	2
73	== 0xff return Encoding .	2
74	static bool	2
75	0xfe &&	2
76	ch {}	2
77	char .	2
78	char ch	2
79	() char	2
80	{} return	2
81	UTF8 ;	2
82	{} public	2
83	0xff return	2
84	() bom	2
85	bool	2
86	reader	2
87	filename	2
88	IsDigit	2
89	== 0xff return Encoding	2
90	0xff return Encoding .	2
91	char ch {} return	2
92	() char ch {}	2
93	Read	2
94	() ch	2
95	IsDigit ()	2
96	new	2
97	b3	2
98	0x00	2
99	UTF8	2
100	0	2
101	0xbb && b2 == 0xbf return Encoding	1
102	else if () b0 == 0xff &&	1
103	&& b2 == 0xbf return Encoding .	1
104	() var reader = new FileStream	1
105	FileStream () filename , FileMode .	1
